"candidate_id","original_language","original_title","transliterated_title","english_title_translation","translation_source","machine_translation_status","human_language_review_status","translated_title_status","translated_summary_status","quotation_verification_status","quotation_restrictions","summary_confidence","native_language_review_needed","independent_decision"
"candidate-BATCH-2026-011-001","lang-fr","IA agentique et données personnelles : la CNIL et le Conseil de l’IA et du Numérique publient une note exploratoire","IA agentique et donnees personnelles : la CNIL et le Conseil de l IA et du Numerique publient une note exploratoire","Agentic AI and personal data: CNIL and the AI and Digital Council publish an exploratory note","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","approve_with_corrections_for_human_review"
"candidate-BATCH-2026-011-002","lang-es","Inteligencia Artificial Agéntica desde la perspectiva de protección de datos","Inteligencia Artificial Agentica desde la perspectiva de proteccion de datos","Agentic Artificial Intelligence from the perspective of data protection","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","approve_with_corrections_for_human_review"
"candidate-BATCH-2026-011-003","lang-es","CCN-CERT BP/36 Buenas Practicas IA Ofensiva","CCN-CERT BP/36 Buenas Practicas IA Ofensiva","CCN-CERT BP/36 Offensive AI Best Practices","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","approve_with_corrections_for_human_review"
"candidate-BATCH-2026-011-004","lang-fi","Tekoälyagenttien kyberturvallisuus","Tekoalyagenttien kyberturvallisuus","Cybersecurity of AI agents","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","approve_with_corrections_for_human_review"
"candidate-BATCH-2026-011-011","lang-it","Intelligenza artificiale","Intelligenza artificiale","Artificial intelligence","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-012","lang-it","Strategia Italiana per l’Intelligenza Artificiale 2024–2026","Strategia Italiana per l Intelligenza Artificiale 2024-2026","Italian Strategy for Artificial Intelligence 2024–2026","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_identity_review"
"candidate-BATCH-2026-011-013","lang-da","Reglerne i AI-forordningen","Reglerne i AI-forordningen","Rules under the AI Act","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-015","lang-de","Transparenz von KI-Systemen","Transparenz von KI-Systemen","Transparency of AI systems","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_translation_review"
"candidate-BATCH-2026-011-016","lang-es","Capacidades para la era de la IA agéntica: gobernanza epistémica y co-inteligencia humano-máquina","Capacidades para la era de la IA agentica: gobernanza epistemica y co-inteligencia humano-maquina","Capabilities for the agentic-AI era: epistemic governance and human–machine co-intelligence","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","approve_with_corrections_for_human_review"
"candidate-BATCH-2026-011-017","lang-fr","IA agentique","IA agentique","Agentic AI","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","approve_with_corrections_for_human_review"
"candidate-BATCH-2026-011-021","lang-ja","AIによる代理行為を前提とした匿名認証基盤の開発","AI ni yoru dairi koi o zentei to shita tokumei ninsho kiban no kaihatsu","Development of an anonymous authentication infrastructure premised on AI proxy actions","OpenAI Codex metadata translation from official title and search extract","machine_assisted_unverified","pending","staging_only_unverified","not_created","prohibited_until_human_verified","Do not quote or publish translated wording until native-language human verification.","metadata_level_moderate","true","hold_for_identity_review"
