"book_edition_id","direct_quote","direct_quote_rights_note","evidence_character","exact_locator","executive_role_context","extraction_method","factual_verification_status","geographic_context","human_review_status","independent_agent_review_status","industry_context","institutional_author","locator_type","machine_extraction_confidence","machine_review_status","neutral_paraphrase","organization_at_source_time","person_id","provenance","publication_status","reviewed_at","reviewed_by","revision_history","source_date","source_id","speaker_role_at_source_time","statement_id","statement_scope","statement_type","topic_ids","uncertainty","workflow_status"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Historical examples and architecture reasoning","pages 9–20","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","Dynamic scheduling, ephemeral workloads, and heterogeneous infrastructure make network location and manually managed secrets unreliable foundations for service identity.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=9"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 9–20"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-001","Distributed infrastructure rather than every identity environment","factual_assertion","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Conceptual threat-model argument","pages 17–19","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","The bottom-turtle problem is the need to establish an initial root of trust without assuming a long-lived secret that itself requires prior protection.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=17"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 17–19"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-002","Trust bootstrap for workloads","strategic_framework","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Normative technical definition","pages 38–41","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","A useful workload identity combines the workload's logical purpose with the authority that issued and vouches for that identity, rather than describing only its network address.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=38"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 38–41"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-003","SPIFFE-style workload identity","definition","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Cryptographic lifecycle reasoning","pages 45–48","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","Automatically renewed, short-lived identity documents reduce exposure from copied credentials and reduce dependence on conventional revocation distribution.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=45"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 45–48"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-004","Credential management; does not eliminate revocation needs in every system","recommendation","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Specification and reference-implementation description","pages 52–59","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","SPIFFE specifies interoperable workload identity documents and APIs, while SPIRE implements attestation, registration, issuance, and federation as an identity control plane.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=52"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 52–59"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-005","SPIFFE and SPIRE architecture in the first edition","strategic_framework","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Architecture description and examples","pages 65–70","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","Node attestation establishes the hosting agent's platform identity, workload attestation inspects process attributes, and registration entries bind accepted conditions to the identity that may be issued.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=65"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 65–70"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-006","SPIRE issuance flow","strategic_framework","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Explicit threat model and compromise analysis","pages 71–77","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","The threat model assumes a hostile network but places trust in specified hardware, platform, operator, and plugin boundaries; compromise of a SPIRE server can enable arbitrary identity issuance inside its trust domain.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=71"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 71–77"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-007","Specified first-edition deployment assumptions","warning","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Practitioner implementation guidance","pages 78–80","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","A production identity deployment should involve security, platform, application, networking, and operational stakeholders because identity semantics and availability cross team boundaries.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=78"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 78–80"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-008","Organizational adoption","recommendation","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Migration-pattern tradeoff analysis","pages 81–87","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","Bridges and proxies can accelerate migration from existing identity islands, but intermediaries may hide or replace the original authenticated workload context.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=81"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 81–87"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-009","Transitional integrations","warning","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
"book-edition-BATCH-2026-002-001","null","No direct quotation used; original OEII paraphrase only.","Practitioner rollout guidance","pages 90–99","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","Manual semantic extraction after complete-edition reading, followed by locator replay and separate review pass","Verified against the exact locator in the complete edition","[""Primarily United States and global technology operations""]","approved","See statement-review.csv and double-review-sample.json","[""Technology"",""Financial services"",""Healthcare"",""Public sector"",""Critical infrastructure""]","The 12 named authors of Solving the Bottom Turtle","page","0.94","ready_for_human_review","Migration should be staged through inventory, target-state design, dual operation, measurement, and rollback rather than requiring a single cutover.","null","null","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf#page=90"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""pages 90–99"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Locator replayed; paraphrase checked for attribution and scope""}]","published","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","2020-11-17","source-BATCH-2026-003-001","Named book author or chapter contributor","statement-BATCH-2026-003-010","Enterprise adoption","recommendation","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","published"
