"alternate_names","authored_book_work_ids","canonical_name","contributed_work_ids","current_organization_reference","current_role","current_role_freshness_status","current_role_source","current_role_verified_at","disclosure","display_name","expertise_topics","external_identifiers","historical_roles","human_review_status","languages","machine_review_status","name_disambiguation_note","operating_markets","person_depth","person_id","professional_geographies","proposition_relationships","provenance","public_profile_eligibility","relationship_to_off","reviewed_at","reviewed_by","revision_history","role_at_source_time","source_ids","statement_ids","verification_status","workflow_status"
"[""Amy Schillingla""]","[]","Amy Shillinglaw","[]","orgref-sailpoint","Technical Advocate / Technical Educator","current_official_profile","https://go.sailpoint.com/onboarding-ai-agents-with-sailPoint-connectors.html","2026-08-15","SailPoint employee presenting SailPoint products; vendor affiliation is material to every extracted statement.","Amy Shillinglaw","[""topic-ai-agents"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","{""sailpoint_community_handle"":""amy_shillinglaw""}","[]","approved","[""lang-en""]","ready_for_human_review","Caption misspelling corrected from official SailPoint speaker metadata and self-identification.","[""geo-global""]","substantive","person-amy-shillinglaw","[]","[]","[{""source_url"":""https://go.sailpoint.com/governing-ai-agents-with-agent-identity-security.html"",""accessed_at"":""2026-08-15"",""retrieval_method"":""official speaker page, recording self-identification, and speaker-labeled captions"",""exact_locator"":""00:03-02:19"",""content_hash"":null,""batch_id"":""BATCH-2026-004"",""prompt_id"":""OEII-MEDIA-RESEARCH"",""prompt_version"":""2.0"",""notes"":""Kirby Fitch is explicitly absent; Paul Patti is not audible.""}]","false","none","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-004""}]","[{""source_id"":""source-sailpoint-governing-ai-agents-2025"",""role"":""Technical Advocate and sole on-record presenter"",""organization_reference"":""orgref-sailpoint""}]","[""source-sailpoint-governing-ai-agents-2025""]","[""statement-BATCH-2026-004-011"",""statement-BATCH-2026-004-012"",""statement-BATCH-2026-004-013"",""statement-BATCH-2026-004-014"",""statement-BATCH-2026-004-015"",""statement-BATCH-2026-004-016"",""statement-BATCH-2026-004-017"",""statement-BATCH-2026-004-018""]","identity_and_current_role_verified","published"
"[]","[""book-work-BATCH-2026-002-001""]","Daniel Feldman","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Daniel Feldman","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-001","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 1 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001""]","Emily Fox","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Emily Fox","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-002","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 2 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001"",""book-work-BATCH-2026-002-002""]","Evan Gilman","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Evan Gilman","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-003","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 3 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001""]","Ian Haken","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Ian Haken","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-004","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 4 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001""]","Frederick Kautz","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Frederick Kautz","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-005","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 5 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001""]","Umair Khan","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Umair Khan","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-006","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 6 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001""]","Max Lambrecht","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Max Lambrecht","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-007","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 7 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[]","[""book-work-BATCH-2026-002-001""]","Brandon Lum","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Brandon Lum","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-008","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 8 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
"[""Agustin Martinez Fayo""]","[""book-work-BATCH-2026-002-001""]","Agustín Martínez Fayó","[]","null","null","not_researched","null","null","Staging author identity candidate; named-human identity review pending.","Agustín Martínez Fayó","[""identity-and-access-management""]","{""official_profile_url"":null,""author_attribution_url"":""https://spiffe.io/book/""}","[]","approved","[]","ready_for_human_review","Verified only as the named author of the linked work; current role and broader identity profile were not inferred.","[]","identity_record","person-BATCH-2026-002-009","[]","[]","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official work page author attribution"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author candidate 9 of 30; current role not researched.""}]","false","none_identified","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","[]","[]","[]","verified_as_named_author_on_official_work_source","published"
