"candidate_id","original_batch_decision","independent_decision","priority","required_human_decisions","canonical_url","original_language","translation_review_required","blocking_issue"
"candidate-BATCH-2026-011-001","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.cnil.fr/fr/ia-agentique-cnil-cianum-note","lang-fr","true","Official CNIL/CIANum page, title, date, and direct agentic-AI scope verified; remove false study geography and add access-basis controls."
"candidate-BATCH-2026-011-002","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.aepd.es/guias/orientaciones-ia-agentica.pdf","lang-es","true","Official 76-page AEPD guidance verified; correct version date and remove false study geography; native-language title review remains required."
"candidate-BATCH-2026-011-003","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.ccn-cert.cni.es/es/pdf/informes-de-ciberseguridad-ccn-cert/informes-ccn-cert-buenas-practicas-bp/7469-ccn-cert-bp-36-buenas-practicas-ia-ofensiva/file.html","lang-es","true","Underlying CCN-CERT BP/36 work verified on the official CCN-CERT register; replace the AEPD news locator, exact title, and date."
"candidate-BATCH-2026-011-004","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.traficom.fi/fi/julkaisut/tekoalyagenttien-kyberturvallisuus","lang-fi","true","Official Traficom/National Emergency Supply Agency publication and date verified; remove false study geography."
"candidate-BATCH-2026-011-005","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.ncsc.gov.uk/blogs/thinking-carefully-before-adopting-agentic-ai","lang-en","false","Official NCSC blog, date, and named authors verified; correct author and source type."
"candidate-BATCH-2026-011-006","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://www.ncsc.gov.uk/blogs/cyber-shield-the-path-to-an-agentic-ai-future-for-cyber-defence","lang-en","false","Official NCSC blog and named authors verified; replace unstable print-PDF locator with canonical landing page and exact date."
"candidate-BATCH-2026-011-007","accept","approve_with_corrections_for_human_review","high","Confirm corrected identity, access basis, authorship, topic scope, and final accept/hold/reject; obtain native-language review where flagged.","https://ai-act-service-desk.ec.europa.eu/en/ai-act/faq/how-are-ai-agents-addressed-within-ai-act-0","lang-en","false","Official European Commission AI Act Service Desk FAQ and direct relevance verified; publication date remains undated on the page and must not be asserted beyond year-level staging."
"candidate-BATCH-2026-011-008","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers","lang-en","false","General-purpose AI provider guidance is adjacent rather than direct; exact agentic locator and analysis basis are missing."
"candidate-BATCH-2026-011-009","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://digital-strategy.ec.europa.eu/en/policies/ai-act-governance-and-enforcement","lang-en","false","AI Act governance overview is adjacent rather than direct; exact agentic locator and analysis basis are missing."
"candidate-BATCH-2026-011-010","hold","return_for_research","low","Decide whether to commission a narrower research batch or reject.","https://www.edpb.europa.eu/our-work-tools/our-documents/opinion-board-art-64/opinion-282024-certain-data-protection-aspects_en","lang-en","false","EDPB opinion concerns AI-model data protection generally; no agentic-specific locator was supplied."
