statement_id,source_id,locator,locator_type,source_version,visual_pdf_check,result,human_review_status
statement-BATCH-2026-005-001,source-BATCH-2026-005-001,"Official HTML publication page, Abstract, paragraphs 1-2, accessed 2026-08-15",html_section,official HTML publication page accessed 2026-08-15,not applicable; official HTML section checked,pass,pending
statement-BATCH-2026-005-002,source-BATCH-2026-005-001,"Official HTML publication page, Abstract, final sentence, accessed 2026-08-15",html_section,official HTML publication page accessed 2026-08-15,not applicable; official HTML section checked,pass,pending
statement-BATCH-2026-005-003,source-BATCH-2026-005-002,"PDF file p. 18 (document p. 14), table GOVERN 1.2, Action GV-1.2-001, July 2024 version",pdf_page,"PDF file p. 18 (document p. 14), table GOVERN 1.2, Action GV-1.2-001, July 2024 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-004,source-BATCH-2026-005-002,"PDF file p. 53 (document p. 49), Appendix A.1.4, 'Limitations of Current Pre-deployment Test Approaches', July 2024 version",pdf_page,"PDF file p. 53 (document p. 49), Appendix A.1.4, 'Limitations of Current Pre-deployment Test Approaches', July 2024 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-005,source-BATCH-2026-005-003,"Revision 02 HTML, Section 3 'Agents are workloads', paragraphs following Figure 1",html_section,"Revision 02 HTML, Section 3 'Agents are workloads', paragraphs following Figure 1",not applicable; official HTML section checked,pass,pending
statement-BATCH-2026-005-006,source-BATCH-2026-005-003,"Revision 02 HTML, Sections 5 'Agent Identifier' and 6 'Agent Credentials'",html_section,"Revision 02 HTML, Sections 5 'Agent Identifier' and 6 'Agent Credentials'",not applicable; official HTML section checked,pass,pending
statement-BATCH-2026-005-007,source-BATCH-2026-005-003,"Revision 02 HTML, Section 3 'Agents are workloads', paragraph after Figure 1",html_section,"Revision 02 HTML, Section 3 'Agents are workloads', paragraph after Figure 1",not applicable; official HTML section checked,pass,pending
statement-BATCH-2026-005-008,source-BATCH-2026-005-004,"PDF file p. 15 (document p. 14), Section 2.14 'Summary of Immediate Solutions', October 2025 version",pdf_page,"PDF file p. 15 (document p. 14), Section 2.14 'Summary of Immediate Solutions', October 2025 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-009,source-BATCH-2026-005-004,"PDF file p. 17 (document p. 16), 'Best Practices', October 2025 version",pdf_page,"PDF file p. 17 (document p. 16), 'Best Practices', October 2025 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
statement-BATCH-2026-005-010,source-BATCH-2026-005-004,"PDF file p. 27 (document p. 26), Section 4.4 'Recursive Delegation in Dynamic Agent Networks', October 2025 version",pdf_page,"PDF file p. 27 (document p. 26), Section 4.4 'Recursive Delegation in Dynamic Agent Networks', October 2025 version","completed for relevant page; table/figure labels, axes, footnotes, and page number checked where applicable",pass,pending
