"review_id","statement_id","proposition_id","scope_dimension","statement_scope","proposition_scope","decision","false_disagreement_removed","human_review_status"
"scope-review-001","statement-BATCH-2026-006-045","proposition-BATCH-2026-008-001","stakes","High-stakes exchanges","Cross-sector attributable actions","qualify_high_stakes_example","no","pending"
"scope-review-002","statement-BATCH-2026-006-021","proposition-BATCH-2026-008-003","approval frequency","Approval for every high-volume action","Risk-proportionate authority","qualifier_not_challenge","yes","pending"
"scope-review-003","statement-BATCH-2026-006-039","proposition-BATCH-2026-008-003","autonomy","Agenticness varies by degree","Risk-proportionate authority","retain_autonomy_condition","no","pending"
"scope-review-004","statement-BATCH-2026-006-006","proposition-BATCH-2026-008-004","technology","Generative-AI systems","Agent risk evaluation","retain_broader_technology_scope","no","pending"
"scope-review-005","statement-BATCH-2026-006-007","proposition-BATCH-2026-008-006","evidence type","General warning about lab transfer","Synthetic security benchmarks","broadens_not_empirical_challenge","no","pending"
"scope-review-006","statement-BATCH-2026-006-025","proposition-BATCH-2026-008-006","population","Synthetic AgentDojo cases","Production prevalence","capability_example_not_prevalence","no","pending"
"scope-review-007","statement-BATCH-2026-006-035","proposition-BATCH-2026-008-009","technology","Named systems on 14 vulnerabilities","Multi-agent capability","qualifier_not_dispute","yes","pending"
"scope-review-008","statement-BATCH-2026-006-037","proposition-BATCH-2026-008-006","population","14 selected sandbox vulnerabilities","Production prevalence","capability_compatible_with_limit","yes","pending"
"scope-review-009","statement-BATCH-2026-006-038","proposition-BATCH-2026-008-006","reproducibility","Withheld code and web-only sample","Cross-benchmark inference limits","qualifier_not_challenge","yes","pending"
"scope-review-010","statement-BATCH-2026-006-013","proposition-BATCH-2026-008-008","question","Delegation traceability","Legal accountability","example_only_not_legal_evidence","no","pending"
"scope-review-011","statement-BATCH-2026-006-020","proposition-BATCH-2026-008-009","time horizon","Prospective multi-agent delegation","Current sandbox capability plus prospective controls","retain_time_horizon_difference","no","pending"
"scope-review-012","statement-BATCH-2026-006-044","proposition-BATCH-2026-008-007","control type","Automated monitoring","Integrated governance architecture","component_not_complete_architecture","no","pending"
