statement_id,source_id,person_id,exact_locator,statement_type,ambiguous_speaker,company_reported_outcome,external_confirmation,rights_treatment,attribution_status,factual_review_status,human_review_status
statement-BATCH-2026-004-001,source-idac-390-agentic-ai-identity,person-tobin-south,00:09:11,interpretation,false,false,not_applicable,paraphrase_only,verified,source_context_checked,pending
statement-BATCH-2026-004-002,source-idac-390-agentic-ai-identity,person-tobin-south,00:12:53,strategic_framework,false,false,not_applicable,paraphrase_only,verified,conceptual_framework,pending
statement-BATCH-2026-004-003,source-idac-390-agentic-ai-identity,person-tobin-south,00:18:28,recommendation,false,false,not_applicable,paraphrase_only,verified,normative,pending
statement-BATCH-2026-004-004,source-idac-390-agentic-ai-identity,person-tobin-south,00:19:15,strategic_framework,false,false,not_applicable,paraphrase_only,verified,normative,pending
statement-BATCH-2026-004-005,source-idac-390-agentic-ai-identity,person-tobin-south,00:21:50,recommendation,false,false,not_applicable,paraphrase_only,verified,product_landscape_not_systematically_checked,pending
statement-BATCH-2026-004-006,source-idac-390-agentic-ai-identity,person-tobin-south,00:24:51,prediction,false,false,not_applicable,paraphrase_only,verified,prediction,pending
statement-BATCH-2026-004-007,source-idac-390-agentic-ai-identity,person-tobin-south,00:27:37,warning,false,false,not_applicable,paraphrase_only,verified,not_legal_advice,pending
statement-BATCH-2026-004-008,source-idac-390-agentic-ai-identity,person-tobin-south,00:30:16,recommendation,false,false,not_applicable,paraphrase_only,verified,example_not_independently_tested,pending
statement-BATCH-2026-004-009,source-idac-390-agentic-ai-identity,person-tobin-south,00:32:32,definition,false,false,not_applicable,paraphrase_only,verified,simplified_definition,pending
statement-BATCH-2026-004-010,source-idac-390-agentic-ai-identity,person-tobin-south,00:42:44,strategic_framework,false,false,not_applicable,paraphrase_only,verified,normative,pending
statement-BATCH-2026-004-011,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:04:36,interpretation,false,false,not_applicable,paraphrase_only,verified,vendor_conceptual_claim,pending
statement-BATCH-2026-004-012,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:08:27,definition,false,false,not_applicable,paraphrase_only,verified,vendor_definition,pending
statement-BATCH-2026-004-013,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:18:37,strategic_framework,false,false,not_applicable,paraphrase_only,verified,vendor_framework,pending
statement-BATCH-2026-004-014,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:21:12,warning,false,false,not_applicable,paraphrase_only,verified,risks_not_quantified,pending
statement-BATCH-2026-004-015,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:24:24,recommendation,false,false,not_applicable,paraphrase_only,verified,vendor_product_context,pending
statement-BATCH-2026-004-016,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:25:43,factual_assertion,false,false,none_found,paraphrase_only,verified,vendor_capability_time_sensitive,pending
statement-BATCH-2026-004-017,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:28:51,recommendation,false,false,not_applicable,paraphrase_only,verified,normative,pending
statement-BATCH-2026-004-018,source-sailpoint-governing-ai-agents-2025,person-amy-shillinglaw,00:32:52,recommendation,false,false,not_applicable,paraphrase_only,verified,vendor_product_demonstration,pending
