statement_id,source_id,attributed_author,speaker_role_at_source_time,organization_at_source_time,current_role_separately,speaker_confidence,source_context,ambiguity_status,human_review_status
statement-BATCH-2026-006-001,source-BATCH-2026-005-001,NIST Center for AI Standards and Innovation,authors of the NIST RFI response synthesis,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-002,source-BATCH-2026-005-001,NIST Center for AI Standards and Innovation,authors of the NIST RFI response synthesis,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-003,source-BATCH-2026-005-001,NIST Center for AI Standards and Innovation,authors of the NIST RFI response synthesis,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-004,source-BATCH-2026-005-002,National Institute of Standards and Technology,institutional author of the NIST AI RMF profile,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-005,source-BATCH-2026-005-002,National Institute of Standards and Technology,institutional author of the NIST AI RMF profile,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-006,source-BATCH-2026-005-002,National Institute of Standards and Technology,institutional author of the NIST AI RMF profile,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-007,source-BATCH-2026-005-002,National Institute of Standards and Technology,institutional author of the NIST AI RMF profile,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-008,source-BATCH-2026-005-002,National Institute of Standards and Technology,institutional author of the NIST AI RMF profile,National Institute of Standards and Technology,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-009,source-BATCH-2026-005-003,Kasselman et al. (joint Internet-Draft authors),joint authors of revision 02,Internet Engineering Task Force,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-010,source-BATCH-2026-005-003,Kasselman et al. (joint Internet-Draft authors),joint authors of revision 02,Internet Engineering Task Force,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-011,source-BATCH-2026-005-003,Kasselman et al. (joint Internet-Draft authors),joint authors of revision 02,Internet Engineering Task Force,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-012,source-BATCH-2026-005-003,Kasselman et al. (joint Internet-Draft authors),joint authors of revision 02,Internet Engineering Task Force,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-013,source-BATCH-2026-005-003,Kasselman et al. (joint Internet-Draft authors),joint authors of revision 02,Internet Engineering Task Force,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-014,source-BATCH-2026-005-003,Kasselman et al. (joint Internet-Draft authors),joint authors of revision 02,Internet Engineering Task Force,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-015,source-BATCH-2026-005-004,South et al. (joint report authors),joint authors of the OpenID Foundation report,OpenID Foundation,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-016,source-BATCH-2026-005-004,South et al. (joint report authors),joint authors of the OpenID Foundation report,OpenID Foundation,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-017,source-BATCH-2026-005-004,South et al. (joint report authors),joint authors of the OpenID Foundation report,OpenID Foundation,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-018,source-BATCH-2026-005-004,South et al. (joint report authors),joint authors of the OpenID Foundation report,OpenID Foundation,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-019,source-BATCH-2026-005-004,South et al. (joint report authors),joint authors of the OpenID Foundation report,OpenID Foundation,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-020,source-BATCH-2026-005-004,South et al. (joint report authors),joint authors of the OpenID Foundation report,OpenID Foundation,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-021,source-BATCH-2026-005-004,South et al. (joint report authors),joint authors of the OpenID Foundation report,OpenID Foundation,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-022,source-BATCH-2026-005-006,Debenedetti et al. (joint paper authors),joint authors of the AgentDojo paper,ETH Zurich and Invariant Labs,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-023,source-BATCH-2026-005-006,Debenedetti et al. (joint paper authors),joint authors of the AgentDojo paper,ETH Zurich and Invariant Labs,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-024,source-BATCH-2026-005-006,Debenedetti et al. (joint paper authors),joint authors of the AgentDojo paper,ETH Zurich and Invariant Labs,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-025,source-BATCH-2026-005-006,Debenedetti et al. (joint paper authors),joint authors of the AgentDojo paper,ETH Zurich and Invariant Labs,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-026,source-BATCH-2026-005-006,Debenedetti et al. (joint paper authors),joint authors of the AgentDojo paper,ETH Zurich and Invariant Labs,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-027,source-BATCH-2026-005-006,Debenedetti et al. (joint paper authors),joint authors of the AgentDojo paper,ETH Zurich and Invariant Labs,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-028,source-BATCH-2026-005-007,Zhang et al. (joint paper authors),joint authors of the ASB paper,Zhejiang University and Rutgers University,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-029,source-BATCH-2026-005-007,Zhang et al. (joint paper authors),joint authors of the ASB paper,Zhejiang University and Rutgers University,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-030,source-BATCH-2026-005-007,Zhang et al. (joint paper authors),joint authors of the ASB paper,Zhejiang University and Rutgers University,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-031,source-BATCH-2026-005-007,Zhang et al. (joint paper authors),joint authors of the ASB paper,Zhejiang University and Rutgers University,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-032,source-BATCH-2026-005-007,Zhang et al. (joint paper authors),joint authors of the ASB paper,Zhejiang University and Rutgers University,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-033,source-BATCH-2026-005-008,Zhu et al. (joint paper authors),joint authors of the HPTSA paper,University of Illinois Urbana-Champaign,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-034,source-BATCH-2026-005-008,Zhu et al. (joint paper authors),joint authors of the HPTSA paper,University of Illinois Urbana-Champaign,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-035,source-BATCH-2026-005-008,Zhu et al. (joint paper authors),joint authors of the HPTSA paper,University of Illinois Urbana-Champaign,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-036,source-BATCH-2026-005-008,Zhu et al. (joint paper authors),joint authors of the HPTSA paper,University of Illinois Urbana-Champaign,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-037,source-BATCH-2026-005-008,Zhu et al. (joint paper authors),joint authors of the HPTSA paper,University of Illinois Urbana-Champaign,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-038,source-BATCH-2026-005-008,Zhu et al. (joint paper authors),joint authors of the HPTSA paper,University of Illinois Urbana-Champaign,not researched; no current role substituted,high,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-039,source-BATCH-2026-005-009,Shavit et al. (joint paper authors),joint authors of the agentic-AI governance paper,OpenAI (publisher; individual affiliations are not stated in the paper),not researched; no current role substituted,medium,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-040,source-BATCH-2026-005-009,Shavit et al. (joint paper authors),joint authors of the agentic-AI governance paper,OpenAI (publisher; individual affiliations are not stated in the paper),not researched; no current role substituted,medium,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-041,source-BATCH-2026-005-009,Shavit et al. (joint paper authors),joint authors of the agentic-AI governance paper,OpenAI (publisher; individual affiliations are not stated in the paper),not researched; no current role substituted,medium,joint-authored source; collective attribution used,none identified,pending
statement-BATCH-2026-006-042,source-BATCH-2026-005-009,Shavit et al. (joint paper authors),joint authors of the agentic-AI governance paper,OpenAI (publisher; individual affiliations are not stated in the paper),not researched; no current role substituted,medium,joint-authored source; collective attribution used,none identified,pending
