"ISBN-10","ISBN-13","access_basis","access_date","audiobook_identifier","audiobook_narrator","book_edition_id","book_work_id","edition_statement","edition_title","electronic_location_system","format","full_text_available_for_research","human_review_status","imprint","language","machine_review_status","metadata_sources","pagination","provenance","publication_country","publication_date","publication_permission","publisher","reviewed_at","reviewed_by","revision_history","source_used_for_analysis","translation_of","translator","verification_status","workflow_status"
"0578777371","9780578777375","Official complete first-edition PDF, unencrypted, CC BY 4.0","2026-08-15","null","null","book-edition-BATCH-2026-002-001","book-work-BATCH-2026-002-001","First edition","Solving the Bottom Turtle — First Edition","PDF page number matching the printed page number; cover is unnumbered","PDF","true","approved","null","lang-en","ready_for_human_review","[""https://spiffe.io/book/"",""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf"",""https://www.booksprints.net/book/hpe-spiffe-spire/""]","194","[{""source_url"":""https://spiffe.io/book/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""CC BY 4.0""},{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""PDF pages 1–194"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Exact edition read completely""}]","United States","2020-11-17","CC BY 4.0; attribution required","SPIFFE Project","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-15T00:00:00Z"",""changed_by"":""OEII analysis agent"",""summary"":""Verified pagination, date, locator system, content hash, and complete-edition access."",""batch_id"":""BATCH-2026-003""},{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","true","null","null","machine_verified_human_approved","published"
"149209658X","9781492096580","publisher_metadata_and_authorized_preview","2026-08-15","null","null","book-edition-BATCH-2026-002-002","book-work-BATCH-2026-002-002","Second edition","Zero Trust Networks, 2nd Edition","HTML chapters and stable page headings","O’Reilly Online Learning","false","approved","null","lang-en","ready_for_human_review","[""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html""]","334","[{""source_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781492096580/titlepage01.html"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata, link, and brief necessary quotation only""}]","United States","null","Metadata, link, and brief necessary quotation only","O’Reilly Media, Inc.","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","true","null","null","machine_verified_human_approved","published"
"null","null","publisher_metadata_only","2026-08-15","9781663735591","Mike Chamberlain","book-edition-BATCH-2026-002-003","book-work-BATCH-2026-002-002","Second-edition audiobook","Zero Trust Networks — Audiobook","audio chapters and timestamps","audiobook","false","approved","null","lang-en","ready_for_human_review","[""https://www.oreilly.com/library/view/zero-trust-networks/9781663735591/""]","null","[{""source_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781663735591/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata and link only""}]","United States","null","Metadata and link only","Ascent Audio","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","false","null","null","machine_verified_human_approved","published"
"161729327X","9781617293276","publisher_metadata_and_authorized_preview","2026-08-15","null","null","book-edition-BATCH-2026-002-005","book-work-BATCH-2026-002-003","First edition","OAuth 2 in Action","print pages; ebook chapters","print with bundled ebook","false","approved","null","lang-en","ready_for_human_review","[""https://www.manning.com/books/oauth-2-in-action"",""https://www.manning.com/preview/oauth-2-in-action/chapter-1""]","360","[{""source_url"":""https://www.manning.com/books/oauth-2-in-action"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata, link, and authorized-preview use only""}]","United States","null","Metadata, link, and authorized-preview use only","Manning Publications","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","true","null","null","machine_verified_human_approved","published"
"1617296023","9781617296024","publisher_metadata_and_authorized_preview","2026-08-15","null","null","book-edition-BATCH-2026-002-006","book-work-BATCH-2026-002-004","First edition","API Security in Action","print pages; ebook chapters","print with bundled ebook","false","approved","null","lang-en","ready_for_human_review","[""https://www.manning.com/books/api-security-in-action"",""https://livebook.manning.com/book/api-security-in-action/contents""]","576","[{""source_url"":""https://www.manning.com/books/api-security-in-action"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata, link, and authorized-preview use only""}]","United States","null","Metadata, link, and authorized-preview use only","Manning Publications","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","true","null","null","machine_verified_human_approved","published"
"1492083119","9781492083115","Official complete first-edition HTML hosted by Google; all 35 content files traversed","2026-08-15","null","null","book-edition-BATCH-2026-002-007","book-work-BATCH-2026-002-005","First edition","Building Secure and Reliable Systems — O’Reilly Online Learning","Official HTML chapter files with stable heading anchors; human-readable locator is chapter plus section heading","online edition","true","approved","null","lang-en","ready_for_human_review","[""https://www.oreilly.com/library/view/building-secure-and/9781492083115/"",""https://google.github.io/building-secure-and-reliable-systems/""]","555","[{""source_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Complete official text accessible for research; no open republication license identified""},{""source_url"":""https://google.github.io/building-secure-and-reliable-systems/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""35 official HTML files with chapter/section anchors"",""content_hash"":""6bf5050c08be0bced81767ac14bd9b3303e34b3efb667806b3c9e9d6b0ed8cf1"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Manifest hash ae702b4e64364217f179317b4a46de6a5e7c51045a79efa67522245d76667e16; exact edition read completely""}]","United States","2020-04-08","Research access verified; metadata, canonical links, original paraphrase, and brief necessary quotation only","O’Reilly Media, Inc.","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-15T00:00:00Z"",""changed_by"":""OEII analysis agent"",""summary"":""Verified date, stable locator system, complete content manifest, and normalized text hash."",""batch_id"":""BATCH-2026-003""},{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","true","null","null","machine_verified_human_approved","published"
"1492083127","9781492083122","publisher_and_library_metadata","2026-08-15","null","null","book-edition-BATCH-2026-002-008","book-work-BATCH-2026-002-005","First edition","Building Secure and Reliable Systems — Print","print pages","print","false","approved","null","lang-en","ready_for_human_review","[""https://www.oreilly.com/library/view/building-secure-and/9781492083115/"",""https://lccn.loc.gov/2021277046""]","557","[{""source_url"":""https://www.oreilly.com/library/view/building-secure-and/9781492083115/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata and link only""}]","United States","null","Metadata and link only","O’Reilly Media, Inc.","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","false","null","null","machine_verified_human_approved","published"
"1492083070","9781492083078","supplementary_bookseller_metadata","2026-08-15","null","null","book-edition-BATCH-2026-002-009","book-work-BATCH-2026-002-005","First edition digital manifestation","Building Secure and Reliable Systems — Reflowable eText","reflowable electronic locations","reflowable ebook","false","approved","null","lang-en","ready_for_human_review","[""https://www.vitalsource.com/products/building-secure-and-reliable-systems-heather-adkins-betsy-beyer-v9781492083078""]","null","[{""source_url"":""https://www.vitalsource.com/products/building-secure-and-reliable-systems-heather-adkins-betsy-beyer-v9781492083078"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata and link only; publisher confirmation desirable""}]","United States","null","Metadata and link only; publisher confirmation desirable","O’Reilly Media, Inc.","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","false","null","null","machine_verified_human_approved","published"
"1098107780","9781098107789","publisher_metadata_and_authorized_preview","2026-08-15","null","null","book-edition-BATCH-2026-002-010","book-work-BATCH-2026-002-006","First edition","Identity in Modern Applications","HTML sections","online short report","false","approved","null","lang-en","ready_for_human_review","[""https://www.oreilly.com/library/view/identity-in-modern/9781098107789/""]","35","[{""source_url"":""https://www.oreilly.com/library/view/identity-in-modern/9781098107789/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata, link, and authorized-preview use only""}]","United States","null","Metadata, link, and authorized-preview use only","O’Reilly Media, Inc.","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","true","null","null","machine_verified_human_approved","published"
"1484250958","9781484250952","official_publisher_metadata_and_toc","2026-08-15","null","null","book-edition-BATCH-2026-002-011","book-work-BATCH-2026-002-007","First edition","Solving Identity Management in Modern Applications — First Edition eBook","PDF pages and chapter page ranges","ebook","false","approved","null","lang-en","ready_for_human_review","[""https://link.springer.com/book/10.1007/978-1-4842-5095-2""]","311","[{""source_url"":""https://link.springer.com/book/10.1007/978-1-4842-5095-2"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Edition-level publisher or catalogue metadata"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Metadata and table-of-contents use only""}]","United States","2019-12-18","Metadata and table-of-contents use only","Apress","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","true","null","null","machine_verified_human_approved","published"
