candidate_id,canonical_url,publisher,source_identity_status,intellectual_work_status,decision,human_review_status,review_note
candidate-BATCH-2026-011-001,https://www.cnil.fr/fr/ia-agentique-cnil-cianum-note,CNIL and CIANum,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Directly examines delegation, persistent memory, actor responsibility, connected services, and data-security risks in agentic AI."
candidate-BATCH-2026-011-002,https://www.aepd.es/guias/orientaciones-ia-agentica.pdf,Agencia Española de Protección de Datos,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Direct agentic-AI privacy guidance with governance, accountability, permissions, and security controls."
candidate-BATCH-2026-011-003,https://laboratorio.aepd.es/novedades/guia-practica-del-ccn-cert-para-hacer-frente-la-ia-ofensiva,CCN-CERT / Spanish National Cryptologic Centre,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Official Spanish security guidance includes identity protection, governance, providers, and safe use of AI agents."
candidate-BATCH-2026-011-004,https://www.traficom.fi/fi/julkaisut/tekoalyagenttien-kyberturvallisuus,Traficom and National Emergency Supply Agency,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Direct national guidance on agent privileges, sensitive data, critical decisions, and cybersecurity management."
candidate-BATCH-2026-011-005,https://www.ncsc.gov.uk/blogs/thinking-carefully-before-adopting-agentic-ai,UK National Cyber Security Centre,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,"Direct guidance on least privilege, short-lived credentials, ownership, monitoring, and incident planning."
candidate-BATCH-2026-011-006,https://www.ncsc.gov.uk/sites/default/files/2026-07/Cyber-Shield-The-path-to-an-agentic-AI-future-for-cyber-defence.pdf,UK National Cyber Security Centre,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,Locally grounded sovereign cyber-defence proposal includes federated agents and identity/trust infrastructure.
candidate-BATCH-2026-011-007,https://ai-act-service-desk.ec.europa.eu/en/ai-act/faq/how-are-ai-agents-addressed-within-ai-act-0,European Commission AI Act Service Desk,official_publisher_page_machine_checked_human_review_pending,candidate_work,accept,pending,Direct official interpretation of how EU AI Act duties apply to agents; legally important but not a court ruling.
candidate-BATCH-2026-011-008,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,European Commission,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Authoritative and multilingual, but agent-identity relevance requires section-level review."
candidate-BATCH-2026-011-009,https://digital-strategy.ec.europa.eu/en/policies/ai-act-governance-and-enforcement,European Commission,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Important regulatory-governance context; no direct agent-identity treatment verified.
candidate-BATCH-2026-011-010,https://www.edpb.europa.eu/our-work-tools/our-documents/opinion-board-art-64/opinion-282024-certain-data-protection-aspects_en,European Data Protection Board,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,Primary regulatory privacy analysis; applicability to autonomous agents needs scoped legal review.
candidate-BATCH-2026-011-011,https://www.agid.gov.it/it/ambiti-intervento/intelligenza-artificiale,Agenzia per l’Italia Digitale,official_publisher_page_machine_checked_human_review_pending,candidate_work,hold,pending,"Official Italian governance hub with national strategy, law, and public-administration guidance; agent specificity not established."
