"accessed_at","alternate_titles","analysis_basis","archived_url","author_ids","canonical_identity_status","canonical_title","canonical_url","channel","chapter_markers","content_hash","correction_ids","date_range","doi","duration_seconds","embed_url","event_date","executive_roles","findings","funding","geography_discussed","geography_of_organization","geography_of_speaker","human_review_status","inclusion_rationale","institutional_author","language","limitations","machine_review_status","methodology_quality","organization_references","original_abstract","original_source_id","original_url","ownership_status","peer_review_status","population","provenance","publication_status","published_at","publisher","recorded_at","relationship_to_off","repost_status","retraction_status","reviewed_at","reviewed_by","revision_history","rights_status","sample","series_or_parent_source","source_depth","source_id","source_quality_dimensions","source_type","speaker_ids","sponsor","study_design","study_geography","topics","transcript_republication_permission","transcript_source","transcript_status","translated_title","translation_method","updated_at","verification_status","workflow_status"
"2026-08-15","[]","official_metadata","null","[]","machine_verified_human_pending","Zero Trust Networks — Audiobook","https://www.oreilly.com/library/view/zero-trust-networks/9781663735591/","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Related format and narrator metadata for book-work-BATCH-2026-002-002.","Ascent Audio / O’Reilly","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://www.oreilly.com/library/view/zero-trust-networks/9781663735591/","third_party","null","null","[{""source_url"":""https://www.oreilly.com/library/view/zero-trust-networks/9781663735591/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Related format and narrator metadata for book-work-BATCH-2026-002-002.""}]","published","null","Ascent Audio / O’Reilly","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","metadata_only","{}","null","metadata_only","related-source-BATCH-2026-002-002","{""primary_source"":true,""bibliographic_stability"":""high""}","audiobook","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[]","authorized_preview","null","[]","machine_verified_human_pending","OAuth 2 in Action — Authorized Chapter 1 Preview","https://www.manning.com/preview/oauth-2-in-action/chapter-1","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Limited authorized preview related to book-work-BATCH-2026-002-003.","Manning Publications","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://www.manning.com/preview/oauth-2-in-action/chapter-1","third_party","null","null","[{""source_url"":""https://www.manning.com/preview/oauth-2-in-action/chapter-1"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Limited authorized preview related to book-work-BATCH-2026-002-003.""}]","published","null","Manning Publications","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","link_and_paraphrase","{}","null","metadata_only","related-source-BATCH-2026-002-003","{""primary_source"":true,""bibliographic_stability"":""high""}","other_approved","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[]","table_of_contents_only","null","[]","machine_verified_human_pending","API Security in Action — Official Contents","https://livebook.manning.com/book/api-security-in-action/contents","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Official contents related to book-work-BATCH-2026-002-004.","Manning Publications","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://livebook.manning.com/book/api-security-in-action/contents","third_party","null","null","[{""source_url"":""https://livebook.manning.com/book/api-security-in-action/contents"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Official contents related to book-work-BATCH-2026-002-004.""}]","published","null","Manning Publications","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","link_and_paraphrase","{}","null","metadata_only","related-source-BATCH-2026-002-004","{""primary_source"":true,""bibliographic_stability"":""high""}","other_approved","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[]","official_description","null","[]","machine_verified_human_pending","Introducing our new book Building Secure and Reliable Systems","https://security.googleblog.com/2020/04/introducing-our-new-book-building.html","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Official launch essay related to book-work-BATCH-2026-002-005.","Google Security Blog","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://security.googleblog.com/2020/04/introducing-our-new-book-building.html","third_party","null","null","[{""source_url"":""https://security.googleblog.com/2020/04/introducing-our-new-book-building.html"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Official launch essay related to book-work-BATCH-2026-002-005.""}]","published","2020-04-08","Google Security Blog","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","link_and_paraphrase","{}","null","metadata_only","related-source-BATCH-2026-002-005","{""primary_source"":true,""bibliographic_stability"":""high""}","essay","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[]","official_description","null","[]","machine_verified_human_pending","Learn to build secure and reliable systems with a new book from Google","https://cloud.google.com/blog/products/management-tools/learn-to-build-secure-and-reliable-systems-with-a-new-book-from-google","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Author launch essay related to book-work-BATCH-2026-002-005.","Google Cloud Blog","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://cloud.google.com/blog/products/management-tools/learn-to-build-secure-and-reliable-systems-with-a-new-book-from-google","third_party","null","null","[{""source_url"":""https://cloud.google.com/blog/products/management-tools/learn-to-build-secure-and-reliable-systems-with-a-new-book-from-google"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Author launch essay related to book-work-BATCH-2026-002-005.""}]","published","2020-04-08","Google Cloud Blog","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","link_and_paraphrase","{}","null","metadata_only","related-source-BATCH-2026-002-006","{""primary_source"":true,""bibliographic_stability"":""high""}","essay","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[]","authorized_preview","null","[]","machine_verified_human_pending","Identity in Modern Applications — Official Contents and Preview","https://www.oreilly.com/library/view/identity-in-modern/9781098107789/","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Official preview related to book-work-BATCH-2026-002-006.","O’Reilly Media, Inc.","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://www.oreilly.com/library/view/identity-in-modern/9781098107789/","third_party","null","null","[{""source_url"":""https://www.oreilly.com/library/view/identity-in-modern/9781098107789/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Official preview related to book-work-BATCH-2026-002-006.""}]","published","null","O’Reilly Media, Inc.","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","link_and_paraphrase","{}","null","metadata_only","related-source-BATCH-2026-002-007","{""primary_source"":true,""bibliographic_stability"":""high""}","other_approved","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[]","authorized_preview","null","[]","machine_verified_human_pending","Identity-Native Infrastructure Access Management — Preface","https://www.oreilly.com/library/view/identity-native-infrastructure-access/9781098131883/preface01.html","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Official preface related to book-work-BATCH-2026-002-009.","O’Reilly Media, Inc.","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://www.oreilly.com/library/view/identity-native-infrastructure-access/9781098131883/preface01.html","third_party","null","null","[{""source_url"":""https://www.oreilly.com/library/view/identity-native-infrastructure-access/9781098131883/preface01.html"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Official preface related to book-work-BATCH-2026-002-009.""}]","published","null","O’Reilly Media, Inc.","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","link_and_paraphrase","{}","null","metadata_only","related-source-BATCH-2026-002-009","{""primary_source"":true,""bibliographic_stability"":""high""}","other_approved","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[]","full_text_lawfully_accessed","null","[]","machine_verified_human_pending","Building Secure and Reliable Systems — Official Complete HTML","https://google.github.io/building-secure-and-reliable-systems/","null","[]","null","[]","{}","null","null","null","null","[""role-ciso"",""role-cio"",""role-cto""]","[]","null","[""geo-global""]","[]","[]","approved","Official complete text access point; reuse license not established.","Google","lang-en","[""Candidate related source only; not accepted for statement extraction.""]","ready_for_human_review","{""not_applicable"":true}","[]","null","null","https://google.github.io/building-secure-and-reliable-systems/","third_party","null","null","[{""source_url"":""https://google.github.io/building-secure-and-reliable-systems/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Official publisher, project, or author-hosted bibliographic page inspected through public web access"",""exact_locator"":""Official related-source page"",""content_hash"":null,""batch_id"":""BATCH-2026-002"",""prompt_id"":""OEII-BOOK-METADATA"",""prompt_version"":""2.0"",""notes"":""Official complete text access point; reuse license not established.""}]","published","null","Google","null","none_identified","original_or_official","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-002""}]","link_and_paraphrase","{}","null","metadata_only","related-source-BATCH-2026-002-010","{""primary_source"":true,""bibliographic_stability"":""high""}","other_approved","[]","null","null","[]","[""governed-agent-identities"",""book-related-source""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[""Solving the Bottom Turtle""]","Complete 194-page official PDF read in full","null","[""person-BATCH-2026-002-001"",""person-BATCH-2026-002-002"",""person-BATCH-2026-002-003"",""person-BATCH-2026-002-004"",""person-BATCH-2026-002-005"",""person-BATCH-2026-002-006"",""person-BATCH-2026-002-007"",""person-BATCH-2026-002-008"",""person-BATCH-2026-002-009"",""person-BATCH-2026-002-010"",""person-BATCH-2026-002-011"",""person-BATCH-2026-002-012""]","Exact first edition verified by title page, ISBN, publisher, date, format, pagination, and SHA-256","Solving the Bottom Turtle: A SPIFFE Way to Establish Trust in Your Infrastructure via Universal Identity","https://spiffe.io/book/","null","[{""chapter"":1},{""chapter"":2},{""chapter"":3},{""chapter"":4},{""chapter"":5},{""chapter"":6},{""chapter"":7},{""chapter"":8},{""chapter"":9},{""chapter"":10}]","8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb","[]","{""edition"":""2020""}","null","null","null","null","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","[]","null","[""Global distributed infrastructure""]","[""United States""]","[]","approved","Directly addresses machine and workload identity—the technical substrate most closely adjacent to governed AI-agent identity—while exposing where identity ends and authorization begins.","null","lang-en","[""The case evidence is self-reported and does not isolate SPIFFE or SPIRE as the cause of the reported outcomes."",""The book is written by project participants and sometimes moves from design argument to ecosystem advocacy."",""Its workload identity model does not by itself encode an AI agent's sponsor, delegation chain, task purpose, model, session, or decision provenance."",""The 2020 edition predates later token formats, wider platform support, current AI-agent systems, and subsequent identity standards work.""]","ready_for_human_review","{""design"":""Practitioner synthesis and technical argument"",""causal_strength"":""Low"",""transparency"":""Threat assumptions and design tradeoffs are usually explicit""}","[]","A practitioner book explaining SPIFFE and SPIRE as an architecture for workload identity, attestation, trust domains, deployment, integration, authorization, and operational adoption.","null","https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf","third_party","No formal academic peer review identified","Distributed infrastructure operators and service workloads","[{""source_url"":""https://spiffe.io/pdf/Solving-the-bottom-turtle-SPIFFE-SPIRE-Book.pdf"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""Complete PDF pages 1–194"",""content_hash"":""8353e3cf6fb8859ff34b0a43fe8146d7580dd32c9ace863c1a4758440f898fcb"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""No direct quotations stored""}]","published","2020-11-17","SPIFFE Project","null","null","null","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","openly_licensed","{""case_studies"":5}","null","complete_edition_deep_analysis","source-BATCH-2026-003-001","{""authority"":""Project-authored primary technical source"",""completeness"":""Complete exact edition"",""independence"":""Low; authors are project participants"",""reproducibility"":""High; official PDF and page locators""}","book","[]","SPIFFE Project","Technical architecture and practitioner case synthesis","[]","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","null","null","null","null","null","machine_verified_human_approved","published"
"2026-08-15","[""Building Secure & Reliable Systems""]","Complete official first-edition HTML: 35 files and 176,914 normalized words read in full","null","[""person-BATCH-2026-002-019"",""person-BATCH-2026-002-020"",""person-BATCH-2026-002-021"",""person-BATCH-2026-002-022"",""person-BATCH-2026-002-023"",""person-BATCH-2026-002-024""]","Exact first online edition verified by title, ISBN, publisher, publication date, pagination, official content manifest, and normalized text hash","Building Secure and Reliable Systems: Best Practices for Designing, Implementing, and Maintaining Systems","https://www.oreilly.com/library/view/building-secure-and/9781492083115/","null","[{""chapter"":1},{""chapter"":2},{""chapter"":3},{""chapter"":4},{""chapter"":5},{""chapter"":6},{""chapter"":7},{""chapter"":8},{""chapter"":9},{""chapter"":10},{""chapter"":11},{""chapter"":12},{""chapter"":13},{""chapter"":14},{""chapter"":15},{""chapter"":16},{""chapter"":17},{""chapter"":18},{""chapter"":19},{""chapter"":20},{""chapter"":21},{""chapter"":22}]","6bf5050c08be0bced81767ac14bd9b3303e34b3efb667806b3c9e9d6b0ed8cf1","[]","{""edition"":""2020""}","null","null","null","null","[""CISO"",""CIO"",""CTO"",""CEO"",""General Counsel"",""Board Director""]","[]","null","[""Global large-scale technology operations""]","[""United States""]","[]","approved","Provides governance patterns for least privilege, contextual authorization, artifact provenance, auditability, recovery, and organizational accountability that can be carefully adapted to AI agents.","null","lang-en","[""Many recommendations reflect Google's scale, staffing, engineering maturity, and ability to build custom control planes."",""The chapter evidence is primarily practitioner experience rather than externally replicated causal analysis."",""The book predates modern general-purpose AI agents and does not define sponsor, delegation, session, model, tool-purpose, or decision-provenance identity fields."",""Privacy, legal process, and geography are acknowledged but not developed into jurisdiction-specific operating models.""]","ready_for_human_review","{""design"":""Multi-author practitioner synthesis"",""causal_strength"":""Low to moderate for design reasoning; low for generalized outcomes"",""transparency"":""Tradeoffs are commonly stated; case selection is not systematic""}","[]","A multi-author practitioner volume integrating security and reliability across design, implementation, deployment, incident response, recovery, organization, and culture.","null","https://google.github.io/building-secure-and-reliable-systems/","third_party","Editorially reviewed technical book; no formal academic peer review identified","Large-scale software and infrastructure organizations","[{""source_url"":""https://google.github.io/building-secure-and-reliable-systems/"",""accessed_at"":""2026-08-15"",""retrieval_method"":""Complete exact edition retrieved from an official public source and reviewed in full"",""exact_locator"":""All 35 official HTML files; chapter/section anchors"",""content_hash"":""6bf5050c08be0bced81767ac14bd9b3303e34b3efb667806b3c9e9d6b0ed8cf1"",""batch_id"":""BATCH-2026-003"",""prompt_id"":""OEII-BOOK-DEEP-ANALYSIS"",""prompt_version"":""2.0"",""notes"":""Manifest hash ae702b4e64364217f179317b4a46de6a5e7c51045a79efa67522245d76667e16; no direct quotations stored""}]","published","2020-04-08","O’Reilly Media, Inc.","null","null","null","null","2026-08-16T23:17:22Z","Murray Newlands","[{""changed_at"":""2026-08-16T23:17:22Z"",""changed_by"":""Murray Newlands"",""summary"":""Approved for the governed-identities pilot release under the exact scope, exclusions, rights treatment, and limitations recorded in issue #18."",""batch_id"":""BATCH-2026-003""}]","link_and_paraphrase","{""chapters"":22,""content_files"":35}","null","complete_edition_deep_analysis","source-BATCH-2026-003-002","{""authority"":""Primary practitioner source from named Google and industry contributors"",""completeness"":""Complete exact edition"",""independence"":""Moderate to low; many examples concern the authors' employer"",""reproducibility"":""High; stable official chapter and section URLs""}","book","[]","Google","Practitioner guidance, technical examples, incident narratives, and case studies","[]","[""topic-ai-agents"",""topic-ai-governance"",""topic-cybersecurity"",""topic-non-human-identity"",""topic-enterprise-infrastructure""]","null","null","null","null","null","null","machine_verified_human_approved","published"
