statement_id,source_id,exact_locator,attribution_check,locator_replay,paraphrase_fidelity,evidence_character_check,scope_and_uncertainty_check,direct_quote_check,high_impact_or_criticism_or_change,independent_review_selected,independent_review_result,human_review_status,reviewer_note
"statement-BATCH-2026-003-001","source-BATCH-2026-003-001","pages 9–20","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-002","source-BATCH-2026-003-001","pages 17–19","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-003","source-BATCH-2026-003-001","pages 38–41","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-004","source-BATCH-2026-003-001","pages 45–48","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-005","source-BATCH-2026-003-001","pages 52–59","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-006","source-BATCH-2026-003-001","pages 65–70","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-007","source-BATCH-2026-003-001","pages 71–77","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-008","source-BATCH-2026-003-001","pages 78–80","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-009","source-BATCH-2026-003-001","pages 81–87","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-010","source-BATCH-2026-003-001","pages 90–99","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-011","source-BATCH-2026-003-001","pages 99–103","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-012","source-BATCH-2026-003-001","pages 104–117","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-013","source-BATCH-2026-003-001","pages 123–131","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass_after_correction","pending","Narrowed the claim to registration API and data-store dependencies supported by pages 123–131."
"statement-BATCH-2026-003-014","source-BATCH-2026-003-001","pages 133–138","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-015","source-BATCH-2026-003-001","pages 139–141","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-016","source-BATCH-2026-003-001","pages 146–153","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-017","source-BATCH-2026-003-001","pages 159–166","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-018","source-BATCH-2026-003-001","pages 168–178","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-019","source-BATCH-2026-003-002","Preface > Why We Wrote This Book","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-020","source-BATCH-2026-003-002","Chapter 1 > Reliability and Security Commonalities","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-021","source-BATCH-2026-003-002","Chapter 2 > Risk Assessment Considerations","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass_after_correction","pending","Removed benign-failure language not supported by the Chapter 2 locator."
"statement-BATCH-2026-003-022","source-BATCH-2026-003-002","Chapter 4 > Design Objectives and Requirements","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-023","source-BATCH-2026-003-002","Chapter 5 > Least Privilege","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-024","source-BATCH-2026-003-002","Chapter 5 > Classifying Access Based on Risk","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass_after_correction","pending","Removed a specific control list not established by the access-classification section."
"statement-BATCH-2026-003-025","source-BATCH-2026-003-002","Chapter 5 > Small Functional APIs; Auditing","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-026","source-BATCH-2026-003-002","Chapter 5 > A Policy Framework for Authentication and Authorization","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-027","source-BATCH-2026-003-002","Chapter 5 > Advanced Controls","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-028","source-BATCH-2026-003-002","Chapter 6 > Understandable Identities, Authentication, and Authorization","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-029","source-BATCH-2026-003-002","Chapter 8 > Automate Responsibly; Controlling the Blast Radius","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-030","source-BATCH-2026-003-002","Chapter 9 > Use an Explicit Revocation Mechanism; Know Your Intended State, Down to the Bytes","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-031","source-BATCH-2026-003-002","Chapter 14 > Verify Artifacts, Not Just People; Binary Provenance","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-032","source-BATCH-2026-003-002","Chapter 15 > Design Your Logging to Be Immutable; Take Privacy into Consideration","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-033","source-BATCH-2026-003-002","Chapter 16 > Disaster Planning","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-034","source-BATCH-2026-003-002","Chapter 17 > Crisis Management","pass","pass","pass","pass","pass","not_applicable_no_quote","no","no","not_selected","pending","Primary extraction pass only; eligible for later human review."
"statement-BATCH-2026-003-035","source-BATCH-2026-003-002","Chapter 20 > Who Is Responsible for Security and Reliability?","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass","pending","Second pass replayed the exact locator and independently reconstructed the claim before comparing wording."
"statement-BATCH-2026-003-036","source-BATCH-2026-003-002","Chapter 21 > Culture of Inevitability; Culture of Sustainability; Align Project Goals and Participant Incentives","pass","pass","pass","pass","pass","not_applicable_no_quote","yes","yes","pass_after_correction","pending","Replaced the nonexistent #culture fragment with the verified Chapter 21 anchor and supporting section names."
