region,role,production_role_at_source_time_records,candidate_mentions,direct_candidate_mentions,severity,interpretation
Africa,role-cfo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-ciso,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-cmo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-cio,0,6,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-cto,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-general-counsel,0,2,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-board-director,0,7,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-private-equity,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-venture-capital,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Africa,role-founder,0,4,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-cfo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-ciso,0,10,8,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-cmo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-cio,0,11,5,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-cto,0,10,7,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-general-counsel,0,8,4,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-board-director,0,10,2,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-private-equity,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-venture-capital,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Asia,role-founder,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-cfo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-ciso,0,7,6,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-cmo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-cio,0,12,8,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-cto,0,4,3,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-general-counsel,0,11,4,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-board-director,0,12,5,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-private-equity,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-venture-capital,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Europe,role-founder,0,1,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-cfo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-ciso,0,2,1,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-cmo,0,0,0,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
Latin America and Caribbean,role-cio,0,8,1,critical,Candidate relevance tags do not satisfy role-at-source-time evidence.
