statement_id,source_id,exact_locator,locator_type,source_version,locator_reproduced,visual_pdf_check,duration_check,book_edition_check,report_version_check,unresolved_locator,human_review_status
statement-BATCH-2026-006-001,source-BATCH-2026-005-001,"Official HTML publication page, Abstract, sentences 1-4, accessed 2026-08-15",html_section,official HTML publication page accessed 2026-08-15,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-002,source-BATCH-2026-005-001,"Official HTML publication page, Abstract, sentence 5, accessed 2026-08-15",html_section,official HTML publication page accessed 2026-08-15,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-003,source-BATCH-2026-005-001,"Official HTML publication page, Abstract, final sentence, accessed 2026-08-15",html_section,official HTML publication page accessed 2026-08-15,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-004,source-BATCH-2026-005-002,"PDF file p. 5 (document p. 1), Section 1 ""Introduction"", July 2024 version",pdf_page,"NIST AI 600-1, July 2024 PDF; SHA-256 inherited from BATCH-2026-005",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-005,source-BATCH-2026-005-002,"PDF file p. 18 (document p. 14), GOVERN 1.2, Action GV-1.2-001, July 2024 version",pdf_page,"NIST AI 600-1, July 2024 PDF; SHA-256 inherited from BATCH-2026-005",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-006,source-BATCH-2026-005-002,"PDF file p. 18 (document p. 14), GOVERN 1.2, Action GV-1.2-002, July 2024 version",pdf_page,"NIST AI 600-1, July 2024 PDF; SHA-256 inherited from BATCH-2026-005",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-007,source-BATCH-2026-005-002,"PDF file p. 53 (document p. 49), Appendix A.1.4 ""Limitations of Current Pre-deployment Test Approaches"", July 2024 version",pdf_page,"NIST AI 600-1, July 2024 PDF; SHA-256 inherited from BATCH-2026-005",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-008,source-BATCH-2026-005-002,"PDF file p. 53 (document p. 49), Appendix A.1.5 ""Structured Public Feedback"", July 2024 version",pdf_page,"NIST AI 600-1, July 2024 PDF; SHA-256 inherited from BATCH-2026-005",pass,pass; exact page rendered or visually inspected in source review,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-009,source-BATCH-2026-005-003,"Revision 02 HTML, Section 3 ""Agents are workloads"", paragraphs 1-3",html_section,draft-klrc-aiagent-auth-02; expires 2026-12-03,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
statement-BATCH-2026-006-010,source-BATCH-2026-005-003,"Revision 02 HTML, Section 5 ""Agent Identifier"", normative paragraph",html_section,draft-klrc-aiagent-auth-02; expires 2026-12-03,pass,not applicable; HTML section checked,not applicable,not applicable,pass,no,pending
