person_id,canonical_name,relationship_to_off,disclosure_required,disclosure_text,review_status
person-BATCH-2026-005-edoardo-debenedetti,Edoardo Debenedetti,none_identified,false,,pending
person-BATCH-2026-005-jie-zhang,Jie Zhang,none_identified,false,,pending
person-BATCH-2026-005-mislav-balunovic,Mislav Balunović,none_identified,false,,pending
person-BATCH-2026-005-luca-beurer-kellner,Luca Beurer-Kellner,none_identified,false,,pending
person-BATCH-2026-005-marc-fischer,Marc Fischer,none_identified,false,,pending
person-BATCH-2026-005-florian-tramer,Florian Tramèr,none_identified,false,,pending
person-BATCH-2026-005-hanrong-zhang,Hanrong Zhang,none_identified,false,,pending
person-BATCH-2026-005-jingyuan-huang,Jingyuan Huang,none_identified,false,,pending
person-BATCH-2026-005-kai-mei,Kai Mei,none_identified,false,,pending
person-BATCH-2026-005-yongfeng-zhang,Yongfeng Zhang,none_identified,false,,pending
person-BATCH-2026-005-yuxuan-zhu,Yuxuan Zhu,none_identified,false,,pending
person-BATCH-2026-005-richard-fang,Richard Fang,none_identified,false,,pending
person-BATCH-2026-005-daniel-kang,Daniel Kang,none_identified,false,,pending
person-BATCH-2026-005-tobin-south,Tobin South,none_identified,false,,pending
person-BATCH-2026-005-alex-pentland,Alex Pentland,none_identified,false,,pending
