"claim_id","claim","claim_type","lineage","calculation","use_status"
"GAP-001","No production dossier can be drafted for this topic.","editorial threshold conclusion","METHODOLOGY.md; config/publication-thresholds.yml; canonical data inventory","0 production sources versus 30 required","research-gap report only"
"GAP-002","The canonical topic corpus has zero sources, statements, propositions, people, books, and dossiers.","inventory calculation","data/sources; data/statements; data/propositions; data/people; data/dossiers; book directories","Count non-README production records","research-gap report only"
"GAP-003","Eight intellectual sources currently have unpublished statements.","staging gap calculation","BATCH-2026-005 source-proposals.json; BATCH-2026-006 statements.json","9 source records minus 1 duplicate rendition with no created statements","not dossier evidence"
"GAP-004","The unpublished statement layer contains 46 records with human review pending.","staging gap calculation","BATCH-2026-006 manifest.yml; statements.json","Count statements and inspect human_review_status","not dossier evidence"
"GAP-005","Three unpublished primary empirical works are synthetic or sandboxed.","evidence-character calculation","Statements 022–038 and source records 006–008","Distinct primary empirical source IDs","not dossier evidence"
"GAP-006","The staging corpus does not support role-specific comparisons.","coverage conclusion","BATCH-2026-006 statements.json","All 46 share relevance tags; direct role-specific position records = 0","research-gap report only"
"GAP-007","The staging corpus does not support regional comparisons.","coverage conclusion","BATCH-2026-005 source-proposals.json; BATCH-2026-006 statements.json","No region-comparative or region-specific empirical population","research-gap report only"
"GAP-008","No material disagreement is production-ready.","coverage conclusion","data/stances inventory; BATCH-2026-006 statement types","0 production stances and 0 counterargument statements in staging","research-gap report only"
"GAP-009","OFF-owned source share is undefined in production and zero in the current staging source set.","ownership calculation","Canonical source inventory; BATCH-2026-005 source-proposals.json","0/0 production; 0/8 staging intellectual sources","not dossier evidence"
"GAP-010","Existing OFF web content overlaps the topic but has not been ingested into the index.","overlap review","OFF CISO AI Leverage Report and related official pages, checked 2026-08-15","Relevant web results minus repository source records","duplication and next-batch planning only"
