"queue_id","record_type","record_id","priority","review_question","machine_status","human_review_status"
"review-proposition-BATCH-2026-008-001","proposition","proposition-BATCH-2026-008-001","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-002","proposition","proposition-BATCH-2026-008-002","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-003","proposition","proposition-BATCH-2026-008-003","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-004","proposition","proposition-BATCH-2026-008-004","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-005","proposition","proposition-BATCH-2026-008-005","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-006","proposition","proposition-BATCH-2026-008-006","normal","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-007","proposition","proposition-BATCH-2026-008-007","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-008","proposition","proposition-BATCH-2026-008-008","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-proposition-BATCH-2026-008-009","proposition","proposition-BATCH-2026-008-009","high","Confirm neutral formulation, scope, stance links, and concentration disclosure.","ready_for_human_review","pending"
"review-held-001","held_cluster","unresolved-cluster-BATCH-2026-008-001","normal","Confirm that broad generative-AI provenance records should remain held from this agent-identity batch.","ready_for_human_review","pending"
"review-debate-001","debate_threshold","not-created","normal","Confirm that no genuine debate meets the configured threshold.","ready_for_human_review","pending"
