person_id,canonical_name,independently_checked_substantive_works,indexed_authored_books,indexed_major_research_contributions,threshold_path_met,public_profile_eligible,disposition,human_review_status
person-BATCH-2026-005-edoardo-debenedetti,Edoardo Debenedetti,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-jie-zhang,Jie Zhang,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-mislav-balunovic,Mislav Balunović,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-luca-beurer-kellner,Luca Beurer-Kellner,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-marc-fischer,Marc Fischer,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-florian-tramer,Florian Tramèr,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-hanrong-zhang,Hanrong Zhang,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-jingyuan-huang,Jingyuan Huang,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-kai-mei,Kai Mei,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-yongfeng-zhang,Yongfeng Zhang,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-yuxuan-zhu,Yuxuan Zhu,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-richard-fang,Richard Fang,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-daniel-kang,Daniel Kang,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-tobin-south,Tobin South,1,0,1,none,false,dataset_only,pending
person-BATCH-2026-005-alex-pentland,Alex Pentland,1,0,1,none,false,dataset_only,pending
