person_id,canonical_name,current_role,current_organization,source_url,checked_at,freshness_status,verification_status,human_review_status
person-BATCH-2026-005-edoardo-debenedetti,Edoardo Debenedetti,PhD Student,ETH Zurich,https://spylab.ai/,2026-08-15,current_official_lab_page_checked_2026-08-15,verified,pending
person-BATCH-2026-005-jie-zhang,Jie Zhang,PhD Student,ETH Zurich,https://spylab.ai/,2026-08-15,current_official_lab_page_checked_2026-08-15,verified,pending
person-BATCH-2026-005-mislav-balunovic,Mislav Balunović,,,,2026-08-15,unresolved_conflicting_current_sources,unresolved,pending
person-BATCH-2026-005-luca-beurer-kellner,Luca Beurer-Kellner,Chief Technology Officer,Invariant Labs AG,https://invariantlabs.ai/about,2026-08-15,current_official_company_page_checked_2026-08-15,verified,pending
person-BATCH-2026-005-marc-fischer,Marc Fischer,Chief Executive Officer,Invariant Labs AG,https://invariantlabs.ai/about,2026-08-15,current_official_company_page_checked_2026-08-15,verified,pending
person-BATCH-2026-005-florian-tramer,Florian Tramèr,Assistant Professor at the Department of Computer Science,ETH Zurich,https://inf.ethz.ch/people/people-atoz/person-detail.MjU5NzMw.TGlzdC8zMDQsLTIxNDE4MTU0NjA%3D.html,2026-08-15,current_official_university_profile_checked_2026-08-15,verified,pending
person-BATCH-2026-005-hanrong-zhang,Hanrong Zhang,PhD Student in Computer Science,University of Illinois Chicago,https://zhang-henry.github.io/assets/pdf/CV_Hanrong_Zhang.pdf,2026-08-15,current_self_authored_cv_checked_2026-08-15,verified,pending
person-BATCH-2026-005-jingyuan-huang,Jingyuan Huang,PhD Student,Rutgers University,https://www.cs.rutgers.edu/people/directory.php?netid=jh2164&type=grad,2026-08-15,current_official_university_directory_checked_2026-08-15,verified,pending
person-BATCH-2026-005-kai-mei,Kai Mei,Graduate Student,Rutgers University,https://computerscience.rutgers.edu/people/graduate-students/details/kai-mei,2026-08-15,current_official_university_directory_checked_2026-08-15,verified,pending
person-BATCH-2026-005-yongfeng-zhang,Yongfeng Zhang,"Associate Professor, Director of the Master Program",Rutgers University,https://www.cs.rutgers.edu/people/professors/details/yongfeng-zhang,2026-08-15,current_official_university_profile_checked_2026-08-15,verified,pending
person-BATCH-2026-005-yuxuan-zhu,Yuxuan Zhu,PhD Student in Computer Science,University of Illinois Urbana-Champaign,https://yuxuan18.github.io/assets/cv.pdf,2026-08-15,current_self_authored_cv_checked_2026-08-15,verified,pending
person-BATCH-2026-005-richard-fang,Richard Fang,,,,2026-08-15,unresolved_conflicting_or_incomplete_current_sources,unresolved,pending
person-BATCH-2026-005-daniel-kang,Daniel Kang,Assistant Professor,University of Illinois Urbana-Champaign,https://siebelschool.illinois.edu/about/people/faculty/ddkang,2026-08-15,current_official_university_profile_checked_2026-08-15,verified,pending
person-BATCH-2026-005-tobin-south,Tobin South,Research Fellow,Stanford University,https://digitaleconomy.stanford.edu/person/tobin-south/,2026-08-15,current_official_university_profile_checked_2026-08-15,verified,pending
person-BATCH-2026-005-alex-pentland,Alex Pentland,Toshiba Professor of Media Arts and Sciences,Massachusetts Institute of Technology,https://professional.mit.edu/programs/faculty-profiles/alex-pentland,2026-08-15,current_official_university_profile_checked_2026-08-15,verified,pending
